space,algorithm,k,silhouette,davies_bouldin,calinski_harabasz,n_clusters_found,min_size,max_size,min_size_frac,max_size_frac,differentiation,ss_shape,ss_level,between_ss,bic,entropy,inertia,degenerate
A_items12,average,4,0.274,0.9858,10.4191,4,1,679,0.0014,0.9841,0.3811,136.8395,222.2649,359.1043,,,,True
A_items12,average,5,0.2676,0.8929,8.3483,5,1,679,0.0014,0.9841,0.4165,159.541,223.4937,383.0347,,,,True
A_items12,average,6,0.205,0.9663,7.4583,6,1,677,0.0014,0.9812,0.4741,201.9796,224.0521,426.0317,,,,True
A_items12,average,7,0.1773,0.9853,6.9123,7,1,675,0.0014,0.9783,0.5172,243.9788,227.7517,471.7305,,,,True
A_items12,average,8,0.1508,1.0082,7.5866,8,1,669,0.0014,0.9696,0.579,344.659,250.6439,595.303,,,,True
A_items12,spectral,2,0.1021,2.6448,87.9817,2,314,376,0.4551,0.5449,0.1315,122.8893,811.4042,934.2934,,,,False
A_items12,spectral,3,0.0777,2.3989,67.7316,3,109,336,0.158,0.487,0.4064,551.5712,805.639,1357.2102,,,,False
A_items12,spectral,4,0.0592,2.4034,60.8738,4,114,241,0.1652,0.3493,0.5584,967.4183,765.042,1732.4603,,,,False
A_items12,spectral,5,0.0545,2.3318,54.0167,5,86,230,0.1246,0.3333,0.595,1175.7348,800.202,1975.9369,,,,False
A_items12,spectral,6,0.0568,2.39,50.4214,6,61,177,0.0884,0.2565,0.6064,1345.755,873.4724,2219.2273,,,,False
A_items12,spectral,7,0.0507,2.2806,46.9792,7,55,169,0.0797,0.2449,0.6509,1566.8284,840.4608,2407.2892,,,,False
A_items12,spectral,8,0.0544,2.3105,44.0675,8,43,127,0.0623,0.1841,0.6631,1701.7527,864.5996,2566.3523,,,,False
B_subscales4,kmeans,2,0.2294,1.6745,212.5887,2,290,400,0.4203,0.5797,0.0567,36.3511,605.1708,641.5219,,,2076.1551,False
B_subscales4,kmeans,3,0.1834,1.5955,181.856,3,193,274,0.2797,0.3971,0.3695,347.6322,593.1125,940.7447,,,1776.9322,False
B_subscales4,kmeans,4,0.1897,1.4662,170.9077,4,137,216,0.1986,0.313,0.5262,611.6204,550.7965,1162.4169,,,1555.2601,False
B_subscales4,kmeans,5,0.1938,1.4269,160.725,5,92,186,0.1333,0.2696,0.5559,731.4807,584.2771,1315.7578,,,1401.9192,False
B_subscales4,kmeans,6,0.2013,1.2946,157.7796,6,68,171,0.0986,0.2478,0.5406,786.8554,668.7579,1455.6133,,,1262.0636,False
B_subscales4,kmeans,7,0.2004,1.2473,153.9089,7,55,152,0.0797,0.2203,0.5459,852.8641,709.3648,1562.2289,,,1155.4481,False
B_subscales4,kmeans,8,0.1939,1.2975,145.597,8,45,129,0.0652,0.187,0.5697,927.4903,700.6742,1628.1645,,,1089.5125,False
B_subscales4,gmm_full,2,0.2143,1.8239,180.5979,2,281,409,0.4072,0.5928,0.2429,137.2673,427.7889,565.0563,7723.9984,0.5,,False
B_subscales4,gmm_full,3,0.1522,1.7897,150.6328,3,181,300,0.2623,0.4348,0.3892,322.4604,506.0039,828.4643,7753.3527,0.5733,,False
B_subscales4,gmm_full,4,0.112,2.005,116.5345,4,121,262,0.1754,0.3797,0.4938,452.9958,464.4491,917.4449,7762.1633,0.5812,,False
B_subscales4,gmm_full,5,0.1069,1.9505,100.4509,5,55,241,0.0797,0.3493,0.5115,513.9667,490.7895,1004.7562,7416.0663,0.6802,,False
B_subscales4,gmm_full,6,0.1157,1.7093,95.2702,6,49,196,0.071,0.2841,0.6017,671.246,444.4237,1115.6697,7420.9875,0.718,,False
B_subscales4,gmm_full,7,0.0608,2.035,71.434,7,47,174,0.0681,0.2522,0.5093,533.7014,514.1602,1047.8616,7344.4668,0.728,,False
B_subscales4,gmm_full,8,0.0957,1.966,83.6376,8,45,129,0.0652,0.187,0.5604,703.5067,551.8355,1255.3421,7508.1013,0.7244,,False
B_subscales4,gmm_diag,2,0.2199,1.7735,191.5083,2,287,403,0.4159,0.5841,0.1939,114.7172,477.0427,591.7599,7662.5374,0.527,,False
B_subscales4,gmm_diag,3,0.0985,2.2835,125.2228,3,204,264,0.2957,0.3826,0.2701,196.1205,529.9271,726.0476,7646.766,0.5262,,False
B_subscales4,gmm_diag,4,0.065,2.6822,101.9835,4,156,197,0.2261,0.2855,0.317,265.7206,572.5014,838.2219,7668.145,0.5203,,False
B_subscales4,gmm_diag,5,0.101,1.9907,101.3521,5,63,296,0.0913,0.429,0.4251,429.4914,580.9271,1010.4185,7206.6022,0.6705,,False
B_subscales4,gmm_diag,6,0.1071,1.996,100.2722,6,52,192,0.0754,0.2783,0.5248,603.2877,546.1826,1149.4703,7262.3743,0.6219,,False
B_subscales4,gmm_diag,7,0.1033,1.8163,93.3857,7,41,153,0.0594,0.2217,0.5041,617.4313,607.3216,1224.7529,7233.1844,0.6699,,False
B_subscales4,gmm_diag,8,0.1098,1.7197,92.1108,8,33,157,0.0478,0.2275,0.5257,694.2834,626.4314,1320.7148,7272.4572,0.6858,,False
B_subscales4,ward,2,0.1754,1.9452,156.1121,2,293,397,0.4246,0.5754,0.2888,145.1312,357.4825,502.6137,,,,False
B_subscales4,ward,3,0.1351,1.6782,139.4415,3,196,293,0.2841,0.4246,0.493,386.8604,397.8248,784.6852,,,,False
B_subscales4,ward,4,0.1366,1.5336,130.2713,4,63,293,0.0913,0.4246,0.5024,495.5269,490.8143,986.3412,,,,False
B_subscales4,ward,5,0.1471,1.6535,128.2757,5,63,201,0.0913,0.2913,0.5237,609.5322,554.3474,1163.8796,,,,False
B_subscales4,ward,6,0.1579,1.4601,130.1585,6,53,201,0.0768,0.2913,0.5118,678.1988,646.834,1325.0329,,,,False
B_subscales4,ward,7,0.1379,1.4729,122.363,7,53,148,0.0768,0.2145,0.5155,725.7571,682.1525,1407.9096,,,,False
B_subscales4,ward,8,0.1419,1.4386,116.6594,8,32,137,0.0464,0.1986,0.5385,797.5179,683.3808,1480.8987,,,,False
B_subscales4,complete,2,0.3215,1.0344,69.4031,2,26,664,0.0377,0.9623,0.2565,63.8666,185.1622,249.0288,,,,True
B_subscales4,complete,3,0.1369,1.6033,74.3433,3,26,574,0.0377,0.8319,0.5541,267.9277,215.6053,483.533,,,,True
B_subscales4,complete,4,0.1012,1.89,84.2954,4,26,361,0.0377,0.5232,0.61,446.4995,285.4985,731.998,,,,False
B_subscales4,complete,5,0.0892,1.7477,68.8562,5,12,361,0.0174,0.5232,0.6318,492.4326,286.9264,779.359,,,,False
B_subscales4,complete,6,0.1001,1.658,80.9125,6,12,213,0.0174,0.3087,0.6229,629.1134,380.9068,1010.0202,,,,False
B_subscales4,complete,7,0.0974,1.469,68.9152,7,1,213,0.0014,0.3087,0.6252,640.6991,384.1474,1024.8465,,,,False
B_subscales4,complete,8,0.0956,1.3809,73.6443,8,1,213,0.0014,0.3087,0.5844,683.6936,486.2256,1169.9192,,,,False
B_subscales4,average,2,0.5908,0.2866,10.6188,2,1,689,0.0014,0.9986,0.5342,22.0686,19.2394,41.3079,,,,True
B_subscales4,average,3,0.3816,0.4802,9.4323,3,1,687,0.0014,0.9957,0.7238,52.5685,20.0629,72.6314,,,,True
B_subscales4,average,4,0.2628,0.928,40.9997,4,1,628,0.0014,0.9101,0.1923,79.4421,333.7502,413.1922,,,,True
B_subscales4,average,5,0.2215,0.8888,34.4413,5,1,628,0.0014,0.9101,0.2595,118.0924,336.9601,455.0525,,,,True
B_subscales4,average,6,0.1527,0.9252,33.8168,6,1,614,0.0014,0.8899,0.3727,200.7774,337.8756,538.653,,,,True
B_subscales4,average,7,0.0859,0.9579,33.4987,7,1,599,0.0014,0.8681,0.423,261.3752,356.5392,617.9144,,,,True
B_subscales4,average,8,0.0818,0.9929,29.2764,8,1,599,0.0014,0.8681,0.417,261.8262,366.1185,627.9447,,,,True
B_subscales4,spectral,2,0.2029,1.7023,197.4379,2,315,375,0.4565,0.5435,0.0655,39.6774,566.3194,605.9968,,,,False
B_subscales4,spectral,3,0.1553,1.5272,161.3223,3,186,315,0.2696,0.4565,0.3652,317.1515,551.3163,868.4678,,,,False
B_subscales4,spectral,4,0.1572,1.4396,147.9537,4,121,264,0.1754,0.3826,0.5247,560.1718,507.4559,1067.6277,,,,False
B_subscales4,spectral,5,0.1575,1.4786,139.3315,5,90,185,0.1304,0.2681,0.5879,716.7305,502.46,1219.1905,,,,False
B_subscales4,spectral,6,0.1735,1.3121,138.7173,6,63,152,0.0913,0.2203,0.5542,758.3155,609.9789,1368.2944,,,,False
